#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P31809	uniprotkb:P11224	intact:EBI-8663470|uniprotkb:Q61353|intact:MINT-4590618|dip:DIP-61461N|uniprotkb:Q61350	intact:EBI-16196052|uniprotkb:O39227	psi-mi:ceam1_mouse(display_long)|uniprotkb:Ceacam1(gene name)|psi-mi:Ceacam1(display_short)|uniprotkb:Bgp(gene name synonym)|uniprotkb:Bgp1(gene name synonym)|uniprotkb:Biliary glycoprotein 1(gene name synonym)|uniprotkb:Murine hepatitis virus receptor(gene name synonym)|uniprotkb:MHVR1(gene name synonym)|uniprotkb:Biliary glycoprotein D(gene name synonym)	psi-mi:spike_cvma5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:"MI:1247"(microscale thermophoresis)	Walls et al. (2016)	pubmed:26855426|doi:10.1038/nature16988|imex:IM-25366	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:11142(cvma5)|taxid:11142("Murine coronavirus (strain A59)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16196079|imex:IM-25366-1|dip:DIP-200979E	intact-miscore:0.44
uniprotkb:P11224	uniprotkb:P11224	intact:EBI-16196052|uniprotkb:O39227	intact:EBI-16196052|uniprotkb:O39227	psi-mi:spike_cvma5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:spike_cvma5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:"MI:0071"(molecular sieving)	Walls et al. (2016)	pubmed:26855426|doi:10.1038/nature16988|imex:IM-25366	taxid:11142(cvma5)|taxid:11142("Murine coronavirus (strain A59)")	taxid:11142(cvma5)|taxid:11142("Murine coronavirus (strain A59)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16196100|imex:IM-25366-2|dip:DIP-200978E	intact-miscore:0.60
uniprotkb:P11224	uniprotkb:P11224	intact:EBI-16196052|uniprotkb:O39227	intact:EBI-16196052|uniprotkb:O39227	psi-mi:spike_cvma5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:spike_cvma5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:"MI:0410"(3D electron microscopy)	Walls et al. (2016)	pubmed:26855426|doi:10.1038/nature16988|imex:IM-25366	taxid:11142(cvma5)|taxid:11142("Murine coronavirus (strain A59)")	taxid:11142(cvma5)|taxid:11142("Murine coronavirus (strain A59)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16196137|imex:IM-25366-4|dip:DIP-200978E	intact-miscore:0.60
uniprotkb:P11224	uniprotkb:P11224	intact:EBI-16196052|uniprotkb:O39227	intact:EBI-16196052|uniprotkb:O39227	psi-mi:spike_cvma5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:spike_cvma5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:"MI:0067"(light scattering)	Walls et al. (2016)	pubmed:26855426|doi:10.1038/nature16988|imex:IM-25366	taxid:11142(cvma5)|taxid:11142("Murine coronavirus (strain A59)")	taxid:11142(cvma5)|taxid:11142("Murine coronavirus (strain A59)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16196118|imex:IM-25366-3|dip:DIP-200978E	intact-miscore:0.60
uniprotkb:Q0ZME7	uniprotkb:Q0ZME7	intact:EBI-16201169	intact:EBI-16201169	psi-mi:spike_cvhn5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:spike_cvhn5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:"MI:0410"(3D electron microscopy)	Kirchdoerfer et al. (2016)	pubmed:26935699|doi:10.1038/nature17200|imex:IM-25362	taxid:443241(cvhn5)|taxid:443241("Human coronavirus HKU1 (isolate N5)")	taxid:443241(cvhn5)|taxid:443241("Human coronavirus HKU1 (isolate N5)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16201191|imex:IM-25362-1|dip:DIP-200950E	intact-miscore:0.46
uniprotkb:Q0ZME7	uniprotkb:Q0ZME7	intact:EBI-16201169	intact:EBI-16201169	psi-mi:spike_cvhn5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:spike_cvhn5(display_long)|uniprotkb:S(gene name)|psi-mi:S(display_short)|uniprotkb:E2(gene name synonym)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:3(orf name)	psi-mi:"MI:0020"(transmission electron microscopy)	Kirchdoerfer et al. (2016)	pubmed:26935699|doi:10.1038/nature17200|imex:IM-25362	taxid:443241(cvhn5)|taxid:443241("Human coronavirus HKU1 (isolate N5)")	taxid:443241(cvhn5)|taxid:443241("Human coronavirus HKU1 (isolate N5)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16201209|imex:IM-25362-2|dip:DIP-200950E	intact-miscore:0.46
uniprotkb:Q14160	uniprotkb:B7Z2Y1	intact:EBI-357345|uniprotkb:Q6P496|uniprotkb:Q7Z5D1|uniprotkb:Q8WWV8|uniprotkb:Q96C69|uniprotkb:Q96GG1	intact:EBI-11791049	psi-mi:scrib_human(display_long)|uniprotkb:SCRIB(gene name)|psi-mi:SCRIB(display_short)|uniprotkb:CRIB1(gene name synonym)|uniprotkb:KIAA0147(gene name synonym)|uniprotkb:LAP4(gene name synonym)|uniprotkb:SCRB1(gene name synonym)|uniprotkb:VARTUL(gene name synonym)|uniprotkb:Protein LAP4(gene name synonym)	psi-mi:b7z2y1_human(display_long)	psi-mi:"MI:0084"(phage display)	Ivarsson et al. (2014)	imex:IM-25074|pubmed:24550280	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-11791036|imex:IM-25074-170	intact-miscore:0.40
uniprotkb:Q14160	uniprotkb:Q14155	intact:EBI-357345|uniprotkb:Q6P496|uniprotkb:Q7Z5D1|uniprotkb:Q8WWV8|uniprotkb:Q96C69|uniprotkb:Q96GG1	intact:EBI-717515|uniprotkb:B1ALK6|uniprotkb:B1ALK8|uniprotkb:Q3LIA4|uniprotkb:Q5W9H0|uniprotkb:Q6P9G3|uniprotkb:Q6PII2|uniprotkb:Q86W63|uniprotkb:Q8N3M1	psi-mi:scrib_human(display_long)|uniprotkb:SCRIB(gene name)|psi-mi:SCRIB(display_short)|uniprotkb:CRIB1(gene name synonym)|uniprotkb:KIAA0147(gene name synonym)|uniprotkb:LAP4(gene name synonym)|uniprotkb:SCRB1(gene name synonym)|uniprotkb:VARTUL(gene name synonym)|uniprotkb:Protein LAP4(gene name synonym)	psi-mi:arhg7_human(display_long)|uniprotkb:PAK-interacting exchange factor beta(gene name synonym)|uniprotkb:Beta-Pix(gene name synonym)|uniprotkb:COOL-1(gene name synonym)|uniprotkb:p85(gene name synonym)|uniprotkb:Nbla10314(orf name)|uniprotkb:ARHGEF7(gene name)|psi-mi:ARHGEF7(display_short)|uniprotkb:COOL1(gene name synonym)|uniprotkb:KIAA0142(gene name synonym)|uniprotkb:P85SPR(gene name synonym)|uniprotkb:PAK3BP(gene name synonym)|uniprotkb:PIXB(gene name synonym)	psi-mi:"MI:0084"(phage display)	Ivarsson et al. (2014)	imex:IM-25074|pubmed:24550280	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-11791066|imex:IM-25074-2	intact-miscore:0.90
uniprotkb:Q14160	uniprotkb:Q7Z628	intact:EBI-357345|uniprotkb:Q6P496|uniprotkb:Q7Z5D1|uniprotkb:Q8WWV8|uniprotkb:Q96C69|uniprotkb:Q96GG1	intact:EBI-2511306|uniprotkb:Q96D82|uniprotkb:Q99903|uniprotkb:Q9UEN6|uniprotkb:Q12773	psi-mi:scrib_human(display_long)|uniprotkb:SCRIB(gene name)|psi-mi:SCRIB(display_short)|uniprotkb:CRIB1(gene name synonym)|uniprotkb:KIAA0147(gene name synonym)|uniprotkb:LAP4(gene name synonym)|uniprotkb:SCRB1(gene name synonym)|uniprotkb:VARTUL(gene name synonym)|uniprotkb:Protein LAP4(gene name synonym)	psi-mi:arhg8_human(display_long)|uniprotkb:NET1(gene name)|psi-mi:NET1(display_short)|uniprotkb:ARHGEF8(gene name synonym)|uniprotkb:Proto-oncogene p65 Net1(gene name synonym)|uniprotkb:Rho guanine nucleotide exchange factor 8(gene name synonym)	psi-mi:"MI:0084"(phage display)	Ivarsson et al. (2014)	imex:IM-25074|pubmed:24550280	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-11791075|imex:IM-25074-3	intact-miscore:0.61
uniprotkb:P22460	uniprotkb:Q14160	intact:EBI-6426121|dip:DIP-42010N|uniprotkb:Q4VAJ2|uniprotkb:Q9UDA4|uniprotkb:Q4KKT8|uniprotkb:Q4VAJ1	intact:EBI-357345|uniprotkb:Q6P496|uniprotkb:Q7Z5D1|uniprotkb:Q8WWV8|uniprotkb:Q96C69|uniprotkb:Q96GG1	psi-mi:kcna5_human(display_long)|uniprotkb:KCNA5(gene name)|psi-mi:KCNA5(display_short)|uniprotkb:HPCN1(gene name synonym)|uniprotkb:Voltage-gated potassium channel HK2(gene name synonym)|uniprotkb:Voltage-gated potassium channel subunit Kv1.5(gene name synonym)	psi-mi:scrib_human(display_long)|uniprotkb:SCRIB(gene name)|psi-mi:SCRIB(display_short)|uniprotkb:CRIB1(gene name synonym)|uniprotkb:KIAA0147(gene name synonym)|uniprotkb:LAP4(gene name synonym)|uniprotkb:SCRB1(gene name synonym)|uniprotkb:VARTUL(gene name synonym)|uniprotkb:Protein LAP4(gene name synonym)	psi-mi:"MI:0084"(phage display)	Ivarsson et al. (2014)	imex:IM-25074|pubmed:24550280	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-11791084|imex:IM-25074-4	intact-miscore:0.40
uniprotkb:Q96DN2	uniprotkb:Q14160	intact:EBI-2850497|uniprotkb:Q86WK8|uniprotkb:A5PKV0|uniprotkb:Q7Z7L6	intact:EBI-357345|uniprotkb:Q6P496|uniprotkb:Q7Z5D1|uniprotkb:Q8WWV8|uniprotkb:Q96C69|uniprotkb:Q96GG1	psi-mi:vwce_human(display_long)|uniprotkb:VWCE(gene name)|psi-mi:VWCE(display_short)|uniprotkb:URG11(gene name synonym)|uniprotkb:HBV X protein up-regulated gene 11 protein(gene name synonym)|uniprotkb:HBxAg up-regulated gene 11 protein(gene name synonym)	psi-mi:scrib_human(display_long)|uniprotkb:SCRIB(gene name)|psi-mi:SCRIB(display_short)|uniprotkb:CRIB1(gene name synonym)|uniprotkb:KIAA0147(gene name synonym)|uniprotkb:LAP4(gene name synonym)|uniprotkb:SCRB1(gene name synonym)|uniprotkb:VARTUL(gene name synonym)|uniprotkb:Protein LAP4(gene name synonym)	psi-mi:"MI:0084"(phage display)	Ivarsson et al. (2014)	imex:IM-25074|pubmed:24550280	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-11791093|imex:IM-25074-5	intact-miscore:0.40
